,model,feature,recall_micro,recall_macro,precision_macro,precision_micro,f1_macro,f1_micro,collection,task,f1_class_0,f1_class_1,f1_class_2,f1_class_3
93,Decision Tree,linked_feat,0.382716049382716,0.333333333333333,0.127572016460905,0.382716049382716,0.18452380952381,0.382716049382716,test,subtaskbenglish,0,0.553571428571429,0,
94,Random Forest Classifier,linked_feat,0.781818181818182,0.256962776643257,0.239084616408573,0.781818181818182,0.23815183119088,0.781818181818182,dev,subtaskaenglish,0.87741935483871,0,0,0.075187969924812
95,Random Forest Classifier,linked_feat,0.80295566502463,0.262705409697409,0.283456965299231,0.80295566502463,0.249242443947355,0.80295566502463,test,subtaskaenglish,0.890586797066015,0,0,0.106382978723404
96,Random Forest Classifier,linked_feat,0.263157894736842,0.333333333333333,0.087719298245614,0.263157894736842,0.138888888888889,0.263157894736842,dev,subtaskbenglish,0,0.416666666666667,0,
97,Random Forest Classifier,linked_feat,0.382716049382716,0.333333333333333,0.127572016460905,0.382716049382716,0.18452380952381,0.382716049382716,test,subtaskbenglish,0,0.553571428571429,0,
98,Linear SVM,structural,0.795286195286195,0.25,0.198821548821549,0.795286195286195,0.221492873218305,0.795286195286195,dev,subtaskaenglish,0.885971492873218,0,0,0
99,Linear SVM,structural,0.807881773399015,0.25,0.201970443349754,0.807881773399015,0.223433242506812,0.807881773399015,test,subtaskaenglish,0.893732970027248,0,0,0
100,Linear SVM,structural,0.236842105263158,0.303703703703704,0.147474747474747,0.236842105263158,0.171650055370986,0.236842105263158,dev,subtaskbenglish,0,0.372093023255814,0.142857142857143,
101,Linear SVM,structural,0.345679012345679,0.368817204301075,0.190705128205128,0.345679012345679,0.250534188034188,0.345679012345679,test,subtaskbenglish,0,0.520833333333333,0.230769230769231,
102,RBF SVM,structural,0.782491582491582,0.245977984758679,0.198158253751705,0.782491582491582,0.219493766528145,0.782491582491582,dev,subtaskaenglish,0.87797506611258,0,0,0
103,RBF SVM,structural,0.807334428024083,0.254982454125481,0.523737532396136,0.807334428024083,0.234368262275857,0.807334428024083,test,subtaskaenglish,0.893474962063733,0.019607843137255,0,0.024390243902439
104,RBF SVM,structural,0.263157894736842,0.333333333333333,0.087719298245614,0.263157894736842,0.138888888888889,0.263157894736842,dev,subtaskbenglish,0,0.416666666666667,0,
105,RBF SVM,structural,0.382716049382716,0.333333333333333,0.127572016460905,0.382716049382716,0.18452380952381,0.382716049382716,test,subtaskbenglish,0,0.553571428571429,0,
106,Linear SVM (squared loss),structural,0.772390572390572,0.260015191512676,0.338585465059296,0.772390572390572,0.250958425212156,0.772390572390572,dev,subtaskaenglish,0.871029468044393,0,0.118518518518519,0.014285714285714
107,Linear SVM (squared loss),structural,0.785987958401751,0.254723093640429,0.279621138996139,0.785987958401751,0.241287358557177,0.785987958401752,test,subtaskaenglish,0.880073800738007,0,0.074766355140187,0.010309278350516
108,Linear SVM (squared loss),structural,0.31578947368421,0.374853801169591,0.503623188405797,0.31578947368421,0.306818181818182,0.31578947368421,dev,subtaskbenglish,0.272727272727273,0.272727272727273,0.375,
109,Linear SVM (squared loss),structural,0.345679012345679,0.444623655913979,0.38631379585327,0.345679012345679,0.334470019892015,0.345679012345679,test,subtaskbenglish,0.235294117647059,0.434782608695652,0.333333333333333,
110,Logistic Regression,structural,0.78989898989899,0.288714075808139,0.405023787188421,0.78989898989899,0.293732083759732,0.78989898989899,dev,subtaskaenglish,0.880733944954129,0,0.246575342465753,0.047619047619048
111,Logistic Regression,structural,0.797482211275315,0.272296960949885,0.331109525149773,0.797482211275315,0.266523384519165,0.797482211275315,test,subtaskaenglish,0.886844526218951,0,0.156521739130435,0.022727272727273
112,Logistic Regression,structural,0.263157894736842,0.297076023391813,0.386842105263158,0.263157894736842,0.262243878060969,0.263157894736842,dev,subtaskbenglish,0.260869565217391,0.275862068965517,0.25,
113,Logistic Regression,structural,0.345679012345679,0.351881720430107,0.335990338164251,0.345679012345679,0.307359307359307,0.345679012345679,test,subtaskbenglish,0.254545454545455,0.467532467532467,0.2,
114,Decision Tree,structural,0.783164983164983,0.361028685394564,0.396530062334762,0.783164983164983,0.371157153543133,0.783164983164983,dev,subtaskaenglish,0.875148632580261,0,0.458536585365854,0.150943396226415
115,Decision Tree,structural,0.779419813902573,0.373462628965718,0.37573731259063,0.779419813902573,0.371771382722106,0.779419813902573,test,subtaskaenglish,0.875,0,0.376344086021505,0.23574144486692
116,Decision Tree,structural,0.289473684210526,0.323001949317739,0.35,0.289473684210526,0.253759398496241,0.289473684210526,dev,subtaskbenglish,0.25,0.368421052631579,0.142857142857143,
117,Decision Tree,structural,0.333333333333333,0.295967741935484,0.281590413943355,0.333333333333333,0.26523434513342,0.333333333333333,test,subtaskbenglish,0.241379310344828,0.463414634146341,0.090909090909091,
