,model,feature,recall_micro,recall_macro,precision_macro,precision_micro,f1_macro,f1_micro,collection,task,f1_class_0,f1_class_1,f1_class_2,f1_class_3
76,RBF SVM,structural,0.7824915824915825,0.24597798475867907,0.19815825375170532,0.7824915824915825,0.21949376652814506,0.7824915824915825,dev,subtaskaenglish,0.8779750661125802,0.0,0.0,0.0
77,RBF SVM,structural,0.8073344280240832,0.2549824541254809,0.523737532396136,0.8073344280240832,0.23436826227585672,0.8073344280240832,test,subtaskaenglish,0.8934749620637329,0.0196078431372549,0.0,0.024390243902439025
78,RBF SVM,structural,0.2631578947368421,0.3333333333333333,0.08771929824561403,0.2631578947368421,0.1388888888888889,0.2631578947368421,dev,subtaskbenglish,0.0,0.4166666666666667,0.0,
79,RBF SVM,structural,0.38271604938271603,0.3333333333333333,0.12757201646090535,0.38271604938271603,0.18452380952380953,0.38271604938271603,test,subtaskbenglish,0.0,0.5535714285714286,0.0,
80,Linear SVM (squared loss),structural,0.7723905723905724,0.2600151915126762,0.33858546505929626,0.7723905723905724,0.2509584252121565,0.7723905723905724,dev,subtaskaenglish,0.8710294680443933,0.0,0.11851851851851852,0.014285714285714285
81,Linear SVM (squared loss),structural,0.7859879584017515,0.2547230936404289,0.279621138996139,0.7859879584017515,0.24128735855717742,0.7859879584017516,test,subtaskaenglish,0.8800738007380073,0.0,0.07476635514018691,0.010309278350515465
82,Linear SVM (squared loss),structural,0.3157894736842105,0.3748538011695906,0.5036231884057971,0.3157894736842105,0.3068181818181818,0.3157894736842105,dev,subtaskbenglish,0.2727272727272727,0.2727272727272727,0.37500000000000006,
83,Linear SVM (squared loss),structural,0.345679012345679,0.4446236559139785,0.3863137958532696,0.345679012345679,0.33447001989201475,0.345679012345679,test,subtaskbenglish,0.2352941176470588,0.43478260869565216,0.3333333333333333,
84,Logistic Regression,structural,0.7898989898989899,0.2887140758081386,0.40502378718842136,0.7898989898989899,0.2937320837597324,0.7898989898989899,dev,subtaskaenglish,0.8807339449541285,0.0,0.2465753424657534,0.047619047619047616
85,Logistic Regression,structural,0.7974822112753147,0.2722969609498848,0.3311095251497729,0.7974822112753147,0.2665233845191647,0.7974822112753147,test,subtaskaenglish,0.8868445262189512,0.0,0.1565217391304348,0.02272727272727273
86,Logistic Regression,structural,0.2631578947368421,0.2970760233918128,0.3868421052631579,0.2631578947368421,0.2622438780609695,0.2631578947368421,dev,subtaskbenglish,0.2608695652173913,0.27586206896551724,0.25,
87,Logistic Regression,structural,0.345679012345679,0.3518817204301075,0.3359903381642512,0.345679012345679,0.30735930735930733,0.345679012345679,test,subtaskbenglish,0.2545454545454546,0.4675324675324675,0.2,
88,Decision Tree,structural,0.7831649831649832,0.3610286853945643,0.3965300623347621,0.7831649831649832,0.37115715354313256,0.7831649831649832,dev,subtaskaenglish,0.8751486325802615,0.0,0.4585365853658537,0.1509433962264151
89,Decision Tree,structural,0.7794198139025725,0.3734626289657184,0.3757373125906297,0.7794198139025725,0.3717713827221064,0.7794198139025725,test,subtaskaenglish,0.8750000000000001,0.0,0.3763440860215054,0.23574144486692017
90,Decision Tree,structural,0.2894736842105263,0.3230019493177388,0.35000000000000003,0.2894736842105263,0.2537593984962406,0.2894736842105263,dev,subtaskbenglish,0.25,0.3684210526315789,0.14285714285714285,
91,Decision Tree,structural,0.3333333333333333,0.29596774193548386,0.2815904139433551,0.3333333333333333,0.26523434513342,0.3333333333333333,test,subtaskbenglish,0.24137931034482757,0.46341463414634143,0.0909090909090909,
92,Random Forest Classifier,structural,0.804040404040404,0.29579981653965565,0.3617581090407177,0.804040404040404,0.2963415228624354,0.804040404040404,dev,subtaskaenglish,0.8904942965779468,0.0,0.2948717948717949,0.0
93,Random Forest Classifier,structural,0.8045977011494253,0.27417169332983654,0.2921762090050028,0.8045977011494253,0.26422307740836537,0.8045977011494253,test,subtaskaenglish,0.8916030534351145,0.0,0.1652892561983471,0.0
94,Random Forest Classifier,structural,0.2631578947368421,0.2933723196881092,0.29865424430641824,0.2631578947368421,0.2563645504821976,0.2631578947368421,dev,subtaskbenglish,0.23076923076923078,0.30303030303030304,0.23529411764705882,
95,Random Forest Classifier,structural,0.38271604938271603,0.4018817204301075,0.3625541125541125,0.38271604938271603,0.36092475830180754,0.38271604938271603,test,subtaskbenglish,0.2950819672131147,0.4800000000000001,0.3076923076923077,
